151,"""어찌도 저리 정세를 판단할줄을 모르는지 이해가 안된다.진짜 저렇다고 생각하는 바보일까? 아니면 바보처럼 반대를 위한 반대인걸까? 일본과의 관계는 나경원이한테 맡겨라.친일 아베오빠한테 싹싹 빌어보라해라.. 깜이 안되는 자유개당의 정치개들."""
152,"""야 이것들 문통 집권동안 칭찬 한번 한적이 없네. 한국인이 아니고 쪽바리 인정?"""
153,"""당신의 생각없이 뱉어내는 입만 없어도 우리나라의 미래는 더 밝아질듯 합니다.\n일본의 보복성 무역조치는 당신 친구 아베테 잘 얘기해보면 안될까요?"""
154,"""가만히 있으면 잊혀지겠고 ...발목 잡아야 하는데 딱히 구실은 안보이고 ...고민끝에 나온건 결국 개소리."""
155,"""니네는 통일이돼도 욕하고있을 애들이야.너네는 지금껏 헐뜯는거말고 뭘해냐?"""
156,"""자한당은 어차피 사라질 당이다 무시하자"""
157,"""ㅋㅋㅋ \n참 옹색한 짜맞춤이다..\n디러운 집단"""
158,"""자국의 대통령을 폄하하는 자유한국당 클라스를 보라 한반도 평화를 위해 남북미 관계를 조율하고 어렵게 자리를 만들고 겸허히 그 공을 북미 정상에게 돌린 문재인 대통령의 노고는 생각지않고 자국 대통령 비방에만 혈안인 자유한구당의 반평화 반국익적 행태, 국민은 이를 똑똑히 기억하고 내년 총선에서 자유한국당 심판의 선거로 만들것이다"""
159,"""우파가 저렇게 생각없이 외교하니 사드 경제보복 쳐맞고, 연평도 천안함 쳐맞고, 위안부 할머니 팔아먹지... 아마추어가 아니라 매국노 수준"""
160,"""엊그제까지  한미공조  훼손했다고  대통령을  닥달하더니   이젠  느들이  앞장서서  트넘프를 디스???   한국당  얘네들  도대체 뭐하자는거여!!"""
161,"""이분들 지금 피아식별은 안되고 뭔가 평화, 협력 등의 단어는 너무너무 싫고 이 상황에 대해 폄하는 해야겠는데 그러다보면 평생을 지배한 세계관이 흔들리는 인지부조화로 멘탈이 탈출해계심"""
162,"""야 성조기 좋다고 흔들던 태극기부대 틀딱들 이제와서뭐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"""
163,"""한국당이 반미를?  ㅋㅋ 세상 오래살고 볼 일이구나"""
164,"""그르믄....성조기버리고 일장기들고 흔들세여"""
165,"""자유당이 반미친일로 자리를 굳히는구나.ㅋㅋㅋ"""
166,"""ㅋㅋ 이젠 친미는 버리고 친일로 가기로 한그냐? 매일같이 한미공조 운운하드만... 이젠 니들 눈높이에서 미국이 좌파 빨갱이가 됐으니 어찌하냐 ㅋㅋㅋ"""
167,"""새누리당시절 안보는 빵점이지. 경제도 빵점이고. 경제 국방 시스템 다 망쳐놓고 먼소리냐. 자한당은 반성해라"""
168,"""이제 성조기 안들고 일장기 들고 시위하려나? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"""
169,"""이제알았다.\n니들은 친미가아니라 친일당이란것을."""
170,"""오~~~~~~~!! 이제 미국에서 일본으로 주인 완전히 바꾼거야?ㅋㅋㅋㅋ"""
171,"""자기 나라 우선하는게 당연하지.\n한국당 처럼 다른나라(일본) 우선하나요?\n웃기고 있네."""
